Munic�pio de resid�ncia,Em branco/IGN,<1 Ano,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,80 e +,Total
240185 CAICARA DO NORTE,-,-,-,-,-,-,3,-,-,-,-,-,3
240200 CAICO,-,1,1,5,6,13,58,35,3,2,2,-,126
240210 CAMPO REDONDO,-,-,1,-,1,-,2,-,1,-,-,-,5
240220 CANGUARETAMA,-,1,1,1,-,1,7,4,1,-,-,-,16
240230 CARAUBAS,-,-,-,-,1,1,1,3,-,-,-,-,6
240240 CARNAUBA DOS DANTAS,-,-,-,2,1,-,6,3,1,1,-,-,14
240250 CARNAUBAIS,-,-,-,2,-,-,2,-,-,-,-,-,4
240260 CEARA-MIRIM,-,6,5,15,50,75,311,128,17,7,11,6,631
240270 CERRO CORA,-,-,-,-,1,-,3,2,-,-,-,-,6
240280 CORONEL EZEQUIEL,-,-,-,2,-,-,1,-,-,-,1,-,4
240290 CORONEL JOAO PESSOA,-,1,2,6,7,6,26,51,7,5,7,2,120
240300 CRUZETA,-,1,-,1,2,-,6,6,-,1,2,1,20
240310 CURRAIS NOVOS,-,-,6,4,2,6,20,2,2,1,1,1,45
240325 PARNAMIRIM,-,11,35,23,42,26,235,100,16,5,3,4,500
240350 ESPIRITO SANTO,-,-,-,-,-,-,2,-,-,-,-,-,2
240360 EXTREMOZ,-,6,22,17,27,33,196,102,4,4,7,2,420
240370 FELIPE GUERRA,-,-,-,2,1,1,2,3,-,-,1,-,10
240375 FERNANDO PEDROZA,-,-,-,1,1,1,4,10,2,-,1,-,20
240380 FLORANIA,-,-,-,2,1,3,5,2,-,-,-,-,13
240390 FRANCISCO DANTAS,-,-,-,-,-,-,-,1,-,-,-,-,1
240400 FRUTUOSO GOMES,-,-,-,-,1,-,-,-,-,-,-,1,2
240410 GALINHOS,-,1,3,-,2,2,8,3,-,-,-,-,19
240420 GOIANINHA,-,1,3,1,3,2,6,1,-,1,-,-,18
240430 GOVERNADOR DIX-SEPT ROSADO,-,-,-,4,2,-,4,2,-,-,-,-,12
240440 GROSSOS,-,-,1,-,1,-,2,-,-,-,-,-,4
240450 GUAMARE,-,-,3,4,-,1,12,9,5,-,3,1,38
240460 IELMO MARINHO,-,-,-,-,-,1,1,1,-,-,-,-,3
240470 IPANGUACU,-,-,-,-,-,-,1,1,-,-,-,-,2
240480 IPUEIRA,-,-,-,-,2,-,1,4,-,-,-,-,7
240490 ITAU,-,-,-,-,-,-,7,7,2,1,-,-,17
240500 JACANA,-,-,-,-,1,-,-,1,-,-,-,-,2
240510 JANDAIRA,-,-,3,1,6,2,11,6,-,-,-,-,29
240520 JANDUIS,-,-,-,-,1,1,4,1,-,-,1,-,8
240530 JANUARIO CICCO,-,1,1,-,-,-,1,2,-,-,-,-,5
240540 JAPI,-,1,-,-,-,1,1,-,-,1,-,-,4
240550 JARDIM DE ANGICOS,-,-,1,-,-,1,-,1,-,1,-,-,4
240570 JARDIM DO SERIDO,-,1,5,-,6,5,7,4,2,2,1,-,33
240580 JOAO CAMARA,-,-,1,-,-,-,8,2,-,-,-,-,11
240600 JOSE DA PENHA,-,-,1,-,-,-,1,-,-,-,-,-,2
240610 JUCURUTU,-,-,-,1,-,1,3,3,-,-,1,-,9
240615 JUNDIA,-,-,1,-,1,-,1,1,-,-,-,-,4
240620 LAGOA D'ANTA,-,-,-,-,-,-,1,-,-,-,-,-,1
240640 LAGOA DE VELHOS,-,-,-,-,-,-,2,-,-,-,-,-,2
240650 LAGOA NOVA,-,8,5,6,8,2,21,11,-,1,1,-,63
240670 LAJES,-,1,2,1,-,-,2,2,-,-,-,-,8
240680 LAJES PINTADAS,-,-,-,-,2,-,-,1,-,-,1,-,4
240690 LUCRECIA,-,-,1,-,1,-,1,2,-,-,-,-,5
240700 LUIS GOMES,-,-,-,3,4,3,4,9,1,-,-,-,24
240710 MACAIBA,1,3,7,6,7,4,36,12,-,-,1,-,77
240720 MACAU,-,1,1,1,-,1,4,2,-,-,-,-,10
240725 MAJOR SALES,-,1,1,-,3,-,5,2,1,-,-,1,14
240730 MARCELINO VIEIRA,-,-,2,1,4,1,8,3,-,-,-,1,20
240750 MAXARANGUAPE,-,-,-,-,-,-,1,1,-,-,-,-,2
240760 MESSIAS TARGINO,-,-,-,-,-,-,1,-,-,-,-,-,1
240770 MONTANHAS,-,-,-,-,-,-,3,1,-,-,-,-,4
240780 MONTE ALEGRE,-,2,1,-,4,-,1,1,-,-,-,-,9
240790 MONTE DAS GAMELEIRAS,-,-,1,-,-,-,3,1,-,-,-,-,5
240800 MOSSORO,-,7,23,23,27,22,83,36,6,1,1,2,231
240810 NATAL,2,90,172,280,251,224,1408,601,47,34,42,22,3173
240820 NISIA FLORESTA,-,2,-,4,9,8,35,18,3,2,2,-,83
240830 NOVA CRUZ,-,-,-,3,1,3,6,5,2,-,2,1,23
240840 OLHO-D'AGUA DO BORGES,-,-,-,-,-,1,-,-,-,-,-,-,1
240850 OURO BRANCO,-,-,-,-,1,-,4,-,-,-,-,-,5
240860 PARANA,-,-,-,1,-,1,-,2,-,-,-,-,4
240870 PARAU,-,-,-,-,1,1,2,1,-,-,-,-,5
240880 PARAZINHO,-,-,-,1,-,3,6,4,-,-,-,1,15
240890 PARELHAS,-,1,-,-,2,1,-,2,-,-,-,-,6
240895 RIO DO FOGO,-,-,-,1,1,-,5,3,-,-,1,-,11
240910 PASSA E FICA,-,-,-,-,-,1,1,-,-,-,-,-,2
240920 PASSAGEM,-,1,-,2,-,1,2,3,1,-,-,-,10
240930 PATU,-,1,2,1,1,-,5,5,-,-,-,-,15
240933 SANTA MARIA,-,-,1,-,1,-,3,3,1,1,-,-,10
240940 PAU DOS FERROS,-,-,2,2,2,-,3,6,-,-,2,-,17
240950 PEDRA GRANDE,-,-,1,2,-,-,8,2,-,-,-,-,13
240960 PEDRA PRETA,-,-,-,-,-,1,2,-,-,-,-,-,3
240970 PEDRO AVELINO,-,-,-,-,-,-,2,1,-,-,-,-,3
240980 PEDRO VELHO,-,1,1,1,1,2,2,5,-,-,-,1,14
240990 PENDENCIAS,-,1,-,5,11,6,43,41,1,1,2,1,112
241000 PILOES,-,1,2,1,-,1,1,1,-,-,-,-,7
241010 POCO BRANCO,-,-,-,-,-,-,-,1,-,-,-,-,1
241020 PORTALEGRE,-,1,1,1,-,-,3,1,-,-,-,-,7
241025 PORTO DO MANGUE,-,-,-,-,-,-,-,1,-,-,-,-,1
241030 SERRA CAIADA,-,-,1,-,-,5,5,8,1,1,3,1,25
241040 PUREZA,-,-,-,2,1,3,6,7,-,1,2,1,23
241050 RAFAEL FERNANDES,-,-,-,1,-,-,1,1,-,-,1,-,4
241060 RAFAEL GODEIRO,-,-,-,-,-,-,-,1,-,-,-,-,1
241080 RIACHO DE SANTANA,-,-,-,-,2,2,3,2,-,-,-,-,9
241090 RIACHUELO,-,-,-,1,-,-,-,1,-,-,-,-,2
241105 TIBAU,-,-,-,-,-,1,-,-,1,-,-,-,2
241110 RUY BARBOSA,-,-,-,-,-,1,1,1,1,-,-,-,4
241120 SANTA CRUZ,-,1,4,4,7,7,17,6,2,-,-,-,48
241140 SANTANA DO MATOS,-,1,1,1,-,-,2,4,-,-,-,-,9
241142 SANTANA DO SERIDO,-,-,1,1,1,-,2,5,-,-,1,1,12
241150 SANTO ANTONIO,-,1,1,2,-,-,3,-,-,-,-,-,7
241160 SAO BENTO DO NORTE,-,-,-,1,-,1,2,-,-,-,-,1,5
241170 SAO BENTO DO TRAIRI,-,-,-,-,-,-,1,-,-,-,-,-,1
241180 SAO FERNANDO,-,-,-,-,1,-,-,2,-,-,-,-,3
241190 SAO FRANCISCO DO OESTE,-,-,-,1,-,-,2,-,-,-,-,-,3
241200 SAO GONCALO DO AMARANTE,-,9,7,10,8,9,53,31,3,2,1,-,133
241210 SAO JOAO DO SABUGI,-,-,-,-,1,2,4,3,-,-,-,-,10
241220 SAO JOSE DE MIPIBU,-,1,1,2,3,2,20,8,-,1,-,-,38
241230 SAO JOSE DO CAMPESTRE,-,1,2,1,1,2,8,1,-,-,1,-,17
241240 SAO JOSE DO SERIDO,-,-,2,3,4,2,11,10,-,-,-,-,32
241250 SAO MIGUEL,-,5,11,14,17,40,139,92,16,11,9,11,365
241255 SAO MIGUEL DO GOSTOSO,-,1,-,-,-,-,2,2,-,-,1,-,6
241260 SAO PAULO DO POTENGI,-,-,-,4,1,1,17,9,-,-,1,-,33
241270 SAO PEDRO,-,-,-,-,-,-,2,1,-,-,-,-,3
241280 SAO RAFAEL,-,-,1,4,-,2,10,4,2,1,-,-,24
241290 SAO TOME,-,1,2,1,2,1,7,2,-,1,-,-,17
241300 SAO VICENTE,-,-,1,-,-,1,4,2,-,-,-,-,8
241310 SENADOR ELOI DE SOUZA,-,-,1,-,-,1,2,1,-,-,-,1,6
241330 SERRA DE SAO BENTO,-,-,-,-,-,-,1,1,-,-,-,-,2
241335 SERRA DO MEL,-,1,-,-,9,4,4,6,1,-,-,-,25
241340 SERRA NEGRA DO NORTE,-,-,-,-,-,-,-,1,-,-,-,-,1
241350 SERRINHA,-,1,2,-,-,-,4,-,-,1,1,1,10
241355 SERRINHA DOS PINTOS,-,-,-,-,1,1,4,3,-,-,-,-,9
241360 SEVERIANO MELO,-,-,-,1,1,1,2,1,-,-,-,-,6
241370 SITIO NOVO,-,2,4,-,2,1,5,5,-,1,-,-,20
241380 TABOLEIRO GRANDE,-,-,-,2,1,-,2,-,-,1,-,-,6
241390 TAIPU,-,-,-,-,-,-,2,2,1,-,-,-,5
241400 TANGARA,1,-,-,-,1,1,2,2,-,-,-,-,7
241410 TENENTE ANANIAS,-,-,1,1,2,2,2,4,-,-,-,-,12
241415 TENENTE LAURENTINO CRUZ,-,1,6,13,13,13,38,21,4,4,2,2,117
241420 TIBAU DO SUL,-,-,-,2,-,1,1,1,-,-,-,-,5
241430 TIMBAUBA DOS BATISTAS,-,1,-,-,2,-,6,6,-,-,-,-,15
241440 TOUROS,-,-,2,6,5,6,26,15,2,3,-,-,65
241445 TRIUNFO POTIGUAR,-,-,-,-,-,-,-,1,-,-,-,-,1
241450 UMARIZAL,-,-,-,-,-,-,-,1,-,-,-,-,1
241460 UPANEMA,-,1,-,3,-,-,10,5,1,-,-,-,20
241470 VARZEA,-,-,-,1,-,-,3,-,-,-,-,-,4
241475 VENHA-VER,-,-,-,2,3,4,13,10,3,1,-,-,36
241480 VERA CRUZ,-,1,-,-,-,-,1,-,-,-,-,-,2
241490 VICOSA,-,-,-,-,-,-,1,2,-,-,-,-,3
250010 AGUA BRANCA,-,3,4,-,-,2,6,3,-,1,1,-,20
250020 AGUIAR,-,-,-,-,-,-,1,-,2,-,1,-,4
250030 ALAGOA GRANDE,-,-,-,-,1,1,3,-,1,-,-,-,6
250040 ALAGOA NOVA,-,-,1,5,2,1,6,4,-,-,-,-,19
250053 ALCANTIL,-,-,-,1,2,1,4,1,-,-,-,-,9
250057 ALGODAO DE JANDAIRA,-,-,-,-,-,1,-,-,-,-,-,-,1
250060 ALHANDRA,-,-,-,-,-,-,2,1,-,-,-,-,3
250070 SAO JOAO DO RIO DO PEIXE,-,1,-,-,-,-,-,-,-,-,-,-,1
250073 AMPARO,-,1,1,2,2,3,7,3,-,1,-,-,20
250077 APARECIDA,-,3,3,4,6,3,20,1,1,-,-,-,41
250080 ARACAGI,-,-,-,1,-,1,1,1,-,-,-,-,4
250090 ARARA,-,-,1,-,-,-,1,1,-,-,-,-,3
250100 ARARUNA,-,-,1,1,1,1,2,3,-,-,-,-,9
250110 AREIA,-,-,-,-,-,-,2,1,-,-,1,-,4
250115 AREIA DE BARAUNAS,-,-,-,1,1,-,4,2,-,-,-,-,8
250120 AREIAL,-,-,-,-,-,-,2,1,1,-,-,-,4
250130 AROEIRAS,-,-,1,-,1,1,2,-,1,1,1,-,8
250135 ASSUNCAO,-,-,1,-,3,-,1,1,-,-,-,-,6
250150 BANANEIRAS,-,-,-,-,-,-,2,-,-,-,-,-,2
250153 BARAUNA,-,1,4,6,13,16,48,19,9,6,6,1,129
250157 BARRA DE SANTANA,-,-,-,-,-,-,-,1,-,-,1,-,2
250160 BARRA DE SANTA ROSA,-,-,3,-,1,1,4,4,-,-,-,1,14
250170 BARRA DE SAO MIGUEL,-,2,1,1,1,-,3,1,-,-,-,-,9
250180 BAYEUX,-,4,13,13,7,6,22,5,-,1,1,-,72
250205 BERNARDINO BATISTA,-,-,-,-,-,-,2,-,-,-,-,-,2
250210 BOA VENTURA,-,-,-,-,-,-,1,-,-,-,-,-,1
250230 BOM SUCESSO,-,-,-,-,-,-,2,1,-,-,-,-,3
250240 BONITO DE SANTA FE,-,-,-,-,-,-,1,1,-,-,-,-,2
250250 BOQUEIRAO,-,-,-,1,-,-,2,3,-,-,-,-,6
250260 IGARACY,-,-,-,2,-,1,-,-,-,-,-,-,3
250280 BREJO DO CRUZ,-,-,1,2,1,7,13,3,-,-,-,-,27
250290 BREJO DOS SANTOS,-,-,-,1,1,4,1,2,-,-,-,-,9
250300 CAAPORA,-,2,1,5,2,-,3,4,-,-,-,-,17
250310 CABACEIRAS,-,-,1,-,5,3,2,1,-,-,-,-,12
250320 CABEDELO,-,-,2,11,9,6,28,15,1,-,1,-,73
250330 CACHOEIRA DOS INDIOS,-,-,-,-,1,2,-,2,1,-,-,-,6
250340 CACIMBA DE AREIA,-,-,-,-,-,-,1,-,-,-,-,-,1
250355 CACIMBAS,-,-,-,-,1,-,1,-,-,-,-,-,2
250360 CAICARA,-,-,-,-,-,-,1,-,-,-,-,-,1
250370 CAJAZEIRAS,-,-,1,1,2,2,6,-,-,-,-,-,12
250380 CALDAS BRANDAO,-,1,1,1,-,-,3,-,-,-,-,-,6
250390 CAMALAU,-,1,1,-,-,1,2,-,-,-,-,-,5
250400 CAMPINA GRANDE,-,1,1,7,1,5,63,31,1,-,1,1,112
250410 CARRAPATEIRA,-,-,-,-,-,-,5,4,-,-,-,-,9
250415 CASSERENGUE,-,-,-,3,2,1,1,2,-,-,-,-,9
250420 CATINGUEIRA,-,-,-,1,1,-,4,1,-,1,-,-,8
250430 CATOLE DO ROCHA,-,-,1,1,3,2,8,6,-,1,-,-,22
250435 CATURITE,-,-,-,-,-,-,-,-,-,-,-,1,1
250450 CONDADO,-,-,-,-,-,2,4,1,-,-,-,-,7
250460 CONDE,-,1,5,3,2,-,9,2,-,-,-,-,22
250470 CONGO,-,1,-,-,-,-,2,-,-,-,-,-,3
250480 COREMAS,-,-,2,-,2,4,4,4,1,-,2,-,19
250490 CRUZ DO ESPIRITO SANTO,-,-,-,1,1,-,2,-,-,-,-,-,4
250500 CUBATI,-,-,1,1,-,-,2,3,-,-,-,-,7
250510 CUITE,-,-,1,5,3,3,15,10,-,1,1,-,39
250530 CURRAL VELHO,-,-,-,1,-,-,-,1,-,-,-,-,2
250550 VISTA SERRANA,-,-,-,-,-,-,2,1,-,-,-,-,3
250570 DONA INES,-,-,2,-,4,3,6,5,-,-,-,-,20
250590 EMAS,-,-,-,-,1,-,2,1,-,-,-,-,4
250610 FAGUNDES,-,-,-,-,-,-,1,-,-,-,-,-,1
250620 FREI MARTINHO,-,-,-,1,1,-,2,1,-,-,2,-,7
250625 GADO BRAVO,-,-,-,-,1,-,-,1,-,-,1,-,3
250630 GUARABIRA,-,-,-,1,-,1,1,-,-,1,-,-,4
250640 GURINHEM,-,-,-,-,-,-,1,2,-,-,-,-,3
250670 IMACULADA,-,-,-,-,-,1,-,-,-,-,-,-,1
250680 INGA,-,-,-,-,-,-,3,1,-,1,-,-,5
250690 ITABAIANA,-,-,-,2,-,1,2,1,1,1,-,-,8
250700 ITAPORANGA,-,-,1,3,1,1,2,1,-,-,-,-,9
250710 ITAPOROROCA,-,-,-,-,1,-,-,1,-,-,-,-,2
250720 ITATUBA,-,2,1,2,6,1,7,5,-,-,-,-,24
250730 JACARAU,-,-,1,-,-,-,-,-,-,-,-,-,1
250740 JERICO,-,1,-,1,1,-,2,-,-,-,-,-,5
250750 JOAO PESSOA,-,69,207,322,349,370,1932,729,53,36,34,9,4110
250760 JUAREZ TAVORA,-,-,-,-,-,-,1,1,-,-,-,-,2
250770 JUAZEIRINHO,-,-,-,-,2,-,10,1,-,-,-,-,13
250780 JUNCO DO SERIDO,-,1,-,-,-,-,-,-,-,-,-,-,1
250800 JURU,-,1,-,1,2,-,5,2,1,1,1,-,14
250820 LAGOA DE DENTRO,-,-,-,1,-,-,-,1,-,-,-,-,2
250830 LAGOA SECA,-,-,-,-,-,-,1,1,-,-,-,-,2
250840 LASTRO,-,-,1,-,1,-,1,-,-,-,-,-,3
250860 LUCENA,-,-,-,1,-,-,-,-,-,-,-,-,1
250880 MALTA,-,-,-,2,1,-,-,1,-,-,-,-,4
250890 MAMANGUAPE,-,-,1,1,1,1,-,1,1,1,-,-,7
250900 MANAIRA,-,6,21,40,62,32,61,43,-,1,5,-,271
250915 MARIZOPOLIS,-,2,3,4,2,2,8,4,-,2,-,-,27
250920 MASSARANDUBA,-,-,-,1,-,-,-,-,-,-,-,-,1
250933 MATINHAS,-,-,-,1,-,1,2,-,-,-,-,-,4
250939 MATUREIA,-,1,-,-,2,-,5,2,-,-,-,-,10
250940 MOGEIRO,-,-,-,-,-,-,-,-,-,1,-,-,1
250950 MONTADAS,-,-,1,-,1,-,-,-,-,-,1,-,3
250970 MONTEIRO,-,2,11,12,20,5,16,15,1,-,2,1,85
250990 NATUBA,-,-,1,1,-,-,3,-,-,1,-,-,6
251000 NAZAREZINHO,-,3,-,-,-,1,3,1,-,-,-,-,8
251010 NOVA FLORESTA,-,-,1,2,4,1,9,4,2,3,2,-,28
251020 NOVA OLINDA,-,-,-,1,1,1,1,-,-,-,-,-,4
251030 NOVA PALMEIRA,-,-,2,2,3,3,12,15,1,1,-,-,39
251040 OLHO D'AGUA,-,1,-,1,2,-,2,-,-,-,1,-,7
251050 OLIVEDOS,-,-,-,-,-,-,-,-,-,-,1,-,1
251060 OURO VELHO,-,1,4,4,6,2,10,3,-,-,1,-,31
251070 PASSAGEM,-,-,-,-,2,-,1,1,-,-,-,-,4
251080 PATOS,-,-,-,1,-,-,4,3,-,-,-,-,8
251100 PEDRA BRANCA,-,1,-,1,1,1,2,2,-,1,-,-,9
251110 PEDRA LAVRADA,-,-,-,-,-,-,3,-,-,-,1,-,4
251130 PIANCO,-,-,-,-,-,3,8,1,-,-,-,-,12
251140 PICUI,-,5,17,27,27,26,57,27,2,1,1,-,190
251150 PILAR,-,-,-,-,-,-,2,-,-,-,-,-,2
251170 PILOEZINHOS,-,-,-,-,-,-,1,-,-,-,-,-,1
251180 PIRPIRITUBA,-,-,-,-,-,-,1,-,-,-,-,-,1
251190 PITIMBU,-,2,2,2,-,-,3,2,1,-,-,-,12
251210 POMBAL,-,1,2,2,1,3,14,7,-,2,1,-,33
251220 PRATA,-,1,-,3,4,2,3,2,1,-,1,-,17
251230 PRINCESA ISABEL,-,1,7,35,44,36,60,15,4,1,1,-,204
251250 QUEIMADAS,-,-,-,3,6,5,14,9,1,2,-,-,40
251260 QUIXABA,-,-,1,1,-,-,2,5,1,-,-,-,10
251270 REMIGIO,-,-,-,-,-,-,1,-,-,-,-,-,1
251272 PEDRO REGIS,-,1,-,2,2,-,8,6,1,1,-,-,21
251278 RIACHO DE SANTO ANTONIO,-,-,-,-,-,2,3,-,-,-,-,-,5
251280 RIACHO DOS CAVALOS,-,-,1,-,-,-,-,-,-,-,-,-,1
251290 RIO TINTO,-,-,-,-,1,1,1,-,-,-,-,-,3
251310 SALGADO DE SAO FELIX,-,-,1,-,1,-,-,-,-,-,-,-,2
251315 SANTA CECILIA,-,-,-,-,-,-,-,-,-,1,-,-,1
251320 SANTA CRUZ,-,1,1,-,-,-,2,3,-,-,-,-,7
251340 SANTA LUZIA,-,-,3,2,-,-,6,3,-,-,-,-,14
251350 SANTANA DE MANGUEIRA,-,-,-,1,-,-,2,-,-,-,-,-,3
251360 SANTANA DOS GARROTES,-,-,-,-,-,-,-,1,-,-,-,-,1
251365 JOCA CLAUDINO,-,1,1,1,1,-,-,-,-,-,-,-,4
251370 SANTA RITA,-,3,7,18,6,8,75,34,3,4,1,2,161
251385 SANTO ANDRE,-,-,1,-,-,-,2,-,-,-,-,-,3
251390 SAO BENTO,-,-,-,-,-,-,2,3,-,-,-,-,5
251392 SAO BENTINHO,-,-,-,-,-,1,1,-,-,-,-,-,2
251394 SAO DOMINGOS DO CARIRI,-,1,-,1,-,-,-,-,-,-,-,-,2
251396 SAO DOMINGOS,-,-,-,-,2,1,2,1,-,-,-,-,6
251398 SAO FRANCISCO,-,1,-,1,1,1,6,8,-,-,1,-,19
251410 SAO JOAO DO TIGRE,-,1,-,-,-,1,2,-,-,-,-,-,4
251420 SAO JOSE DA LAGOA TAPADA,-,-,-,3,-,3,1,1,-,-,-,-,8
251430 SAO JOSE DE CAIANA,-,-,-,1,-,-,-,1,-,-,-,-,2
251440 SAO JOSE DE ESPINHARAS,-,1,-,-,-,-,-,-,-,-,-,-,1
251445 SAO JOSE DOS RAMOS,-,1,1,-,1,-,-,-,1,-,-,-,4
251450 SAO JOSE DE PIRANHAS,-,-,2,4,2,4,15,15,2,-,1,-,45
251455 SAO JOSE DE PRINCESA,-,-,2,-,-,-,5,7,2,-,-,-,16
251465 SAO JOSE DO BREJO DO CRUZ,-,-,1,1,1,-,4,6,1,-,-,-,14
251470 SAO JOSE DO SABUGI,-,-,1,-,-,2,-,2,-,-,-,-,5
251490 SAO MAMEDE,-,-,-,-,-,-,2,-,-,-,-,-,2
251510 SAO SEBASTIAO DE LAGOA DE ROCA,-,-,-,-,-,-,-,1,-,-,-,-,1
251530 SAPE,-,1,2,1,-,1,1,1,-,-,-,-,7
251540 SAO VICENTE DO SERIDO,-,-,1,-,-,-,1,-,-,-,-,-,2
251550 SERRA BRANCA,-,2,1,-,-,-,1,2,-,-,-,-,6
251570 SERRA GRANDE,-,1,1,2,2,1,1,2,-,1,-,-,11
251580 SERRA REDONDA,-,-,-,-,-,-,-,1,-,-,-,-,1
251597 SOBRADO,-,1,-,-,-,-,-,-,-,-,-,-,1
251600 SOLANEA,-,-,1,1,2,-,5,2,1,-,1,-,13
251610 SOLEDADE,-,-,-,-,-,-,2,1,-,-,-,-,3
251615 SOSSEGO,-,-,4,1,5,3,16,15,1,1,-,-,46
251620 SOUSA,-,18,17,23,17,3,20,10,-,-,1,1,110
251630 SUME,-,-,1,-,-,-,-,1,-,-,-,-,2
251650 TAPEROA,-,-,1,-,-,-,2,-,-,-,-,-,3
251660 TAVARES,-,1,2,-,1,-,3,-,-,-,-,-,7
251670 TEIXEIRA,-,11,40,35,55,59,125,78,10,7,10,3,433
251675 TENORIO,-,-,-,-,-,-,1,-,-,-,-,-,1
251680 TRIUNFO,-,-,-,1,-,-,1,-,-,-,-,-,2
251690 UIRAUNA,-,-,1,1,-,-,5,2,-,-,-,-,9
251700 UMBUZEIRO,-,-,-,2,-,-,-,1,-,-,-,-,3
251710 VARZEA,-,-,-,-,-,2,-,1,-,-,-,-,3
251720 VIEIROPOLIS,-,1,3,-,1,-,2,1,-,-,2,-,10
251740 ZABELE,-,-,1,2,-,-,3,4,-,-,-,-,10
260005 ABREU E LIMA,-,2,5,2,1,3,5,1,-,-,2,-,21
260010 AFOGADOS DA INGAZEIRA,-,-,2,2,6,1,9,3,-,-,1,-,24
260020 AFRANIO,-,-,-,5,9,11,13,2,1,1,-,-,42
260030 AGRESTINA,-,-,2,2,-,-,4,3,-,-,-,-,11
260040 AGUA PRETA,-,-,1,1,1,-,1,-,-,-,-,-,4
260050 AGUAS BELAS,-,-,2,-,2,2,5,1,-,-,-,-,12
260060 ALAGOINHA,-,1,5,1,1,2,1,-,-,1,-,-,12
260070 ALIANCA,-,-,2,1,2,2,12,5,-,-,1,-,25
260080 ALTINHO,-,-,-,3,-,-,7,1,-,-,-,-,11
260090 AMARAJI,-,-,2,2,1,-,3,1,-,-,-,-,9
260100 ANGELIM,-,-,-,1,-,-,1,1,-,-,-,-,3
260105 ARACOIABA,-,29,8,14,11,18,92,33,2,-,2,-,209
260110 ARARIPINA,-,1,1,-,4,2,4,-,-,-,-,-,12
260120 ARCOVERDE,-,-,-,3,3,3,7,2,1,-,-,-,19
260130 BARRA DE GUABIRABA,-,2,1,-,1,2,2,1,1,-,-,-,10
260140 BARREIROS,-,-,-,-,-,-,4,2,-,-,-,1,7
260160 BELEM DE SAO FRANCISCO,-,-,-,-,1,-,1,1,-,-,-,1,4
260170 BELO JARDIM,-,-,-,-,-,-,5,-,-,-,1,-,6
260180 BETANIA,-,1,-,-,2,2,7,5,1,-,-,-,18
260190 BEZERROS,-,-,-,-,-,-,3,2,-,-,-,-,5
260200 BODOCO,-,-,-,-,-,4,4,3,1,1,-,-,13
260210 BOM CONSELHO,-,-,1,1,1,-,8,3,1,-,-,-,15
260220 BOM JARDIM,-,2,1,-,1,-,3,-,1,1,-,-,9
260230 BONITO,-,-,1,1,1,3,5,2,-,-,-,-,13
260240 BREJAO,-,2,-,2,4,11,42,20,2,2,-,1,86
260250 BREJINHO,-,-,1,-,-,1,5,3,-,-,2,-,12
260260 BREJO DA MADRE DE DEUS,-,1,12,14,2,12,21,4,-,-,1,2,69
260270 BUENOS AIRES,-,-,-,-,-,-,1,-,-,-,-,-,1
260280 BUIQUE,-,5,1,5,10,9,27,8,3,1,-,-,69
260290 CABO DE SANTO AGOSTINHO,-,-,4,2,-,1,8,6,-,-,1,-,22
260300 CABROBO,-,-,-,1,-,-,2,2,1,-,-,-,6
260310 CACHOEIRINHA,-,-,-,-,-,-,-,1,1,-,-,-,2
260320 CAETES,-,1,-,-,-,-,-,-,-,-,-,-,1
260330 CALCADO,-,-,-,-,-,-,-,1,-,-,-,-,1
260340 CALUMBI,-,-,-,-,1,-,1,-,-,-,-,1,3
260345 CAMARAGIBE,-,-,2,5,4,-,19,7,1,-,-,-,38
260350 CAMOCIM DE SAO FELIX,-,1,-,-,-,-,6,2,-,1,-,-,10
260360 CAMUTANGA,-,-,-,-,1,-,-,1,1,-,-,-,3
260370 CANHOTINHO,-,-,-,-,-,-,-,-,-,-,1,-,1
260380 CAPOEIRAS,-,-,-,1,-,-,2,-,-,1,-,-,4
260390 CARNAIBA,-,-,-,1,-,2,8,7,1,-,-,-,19
260392 CARNAUBEIRA DA PENHA,-,-,1,-,-,-,3,2,-,-,-,-,6
260400 CARPINA,-,-,3,-,4,2,1,2,-,1,-,-,13
260410 CARUARU,-,1,-,1,1,-,3,1,-,-,-,-,7
260420 CATENDE,-,1,-,-,-,-,-,-,-,-,-,-,1
260430 CEDRO,-,-,1,-,1,2,7,4,-,-,-,-,15
260440 CHA DE ALEGRIA,-,1,6,7,5,1,11,4,-,-,2,-,37
260450 CHA GRANDE,-,2,3,4,2,20,37,21,1,1,1,-,92
260460 CONDADO,-,-,3,-,-,-,2,4,-,-,-,-,9
260470 CORRENTES,-,1,-,-,-,1,2,5,-,-,-,1,10
260490 CUMARU,-,1,3,-,-,2,1,1,-,-,-,-,8
260500 CUPIRA,-,-,-,2,-,-,3,3,-,-,-,-,8
260510 CUSTODIA,-,-,3,3,1,2,1,1,-,-,1,-,12
260515 DORMENTES,-,1,2,2,8,10,35,25,2,3,4,-,92
260520 ESCADA,-,4,8,10,5,9,49,18,-,2,4,2,111
260530 EXU,-,5,8,24,27,24,47,25,2,1,3,1,167
260540 FEIRA NOVA,-,-,-,-,-,-,-,1,-,-,-,-,1
260545 FERNANDO DE NORONHA,-,-,2,2,1,-,12,5,-,-,-,-,22
260550 FERREIROS,-,-,1,-,-,-,-,-,-,1,-,-,2
260560 FLORES,-,1,1,-,3,-,1,-,-,-,-,1,7
260570 FLORESTA,-,-,-,-,-,-,2,-,-,-,-,-,2
